name	version	compactsave	rarity	spawnable	minac	maxac	speed	reqstr	reqdex	block	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	normcode	ubercode	ultracode	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	stackable	minstack	maxstack	spawnstack	Transmogrify	TMogType	TMogMin	TMogMax	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Studded Leather 	0	0	4	1	35	35	0	27	0	0	32	0	8	0	0	1024	1024	stu	stu			stu	stu	xtu	utu	1	2	3	1	2	1	flpstu	invstu			1	0	0	1	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1	1	1	1	1	20		1		1	1					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	7	8	0	rng	ltp	1	1	
Ring Mail	0	0	4	1	48	48	5	36	0	0	26	0	11	0	0	1024	1024	rng	rng			rng	rng	xng	ung	1	2	3	1	3	1	flprng	invrng			0	0	1	1	1	1	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3		1		1	255					255					255	1	1		1	1					255					255					255					255					255		1		1	1					255					255					255					255					255					255					255	7	8	0	scl	chn	1	1	
Scale Mail	0	0	4	1	60	60	10	44	0	0	36	0	13	0	0	1024	1024	scl	scl			scl	scl	xcl	ucl	1	2	3	1	2	1	flpscl	invscl			1	1	1	1	1	1	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255	1	1		1	1					255					255					255					255					255					255				1	1				1	1					255					255					255					255					255	7	8	0	chn	brs	1	1	
Chain Mail	0	0	4	1	75	75	5	48	0	0	45	0	15	0	0	1024	1024	chn	chn			chn	chn	xhn	uhn	1	2	3	1	2	1	flpchn	invchn			1	1	1	1	2	2	0					0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255	1	1		1	1					255					255		1		1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255				1	1					255					255					255	7	8	0	brs	spl	1	1	
Breast Plate	0	0	4	1	68	68	0	30	0	0	50	0	18	0	0	1024	1024	brs	brs			brs	brs	xrs	urs	1	2	3	1	3	1	flpbrs	invbrs			0	0	2	0	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255		1		1	1					255					255	1	1		1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255	1	1		1	1					255					255					255	7	8	0	spl	plt	1	1	
Splint Mail	0	0	4	1	95	95	5	51	0	0	30	0	20	0	0	1024	1024	spl	spl			spl	spl	xpl	upl	1	2	3	1	2	1	flpspl	invspl			1	1	2	1	1	1	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255		1			1					255					255	1	1	1	1	1					255					255					255	1	1		1	1	1	1		1	1					255	1	1		1	1			1	1	20					255					255	7	8	0	plt	fld	1	1	
Plate Mail	0	0	4	1	116	116	10	65	0	0	60	0	24	0	0	1024	1024	plt	plt			plt	plt	xlt	ult	1	2	3	1	2	1	flpplt	invplt			2	2	2	2	1	1	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255			1	1	20	1	1	1	1	1			1	1	20					255					255	8	8	0	fld	xxx	1	1	
Field Plate	0	0	4	1	105	105	5	55	0	0	48	0	28	0	0	1024	1024	fld	fld			fld	fld	xld	uld	1	2	3	1	2	1	flpfld	invfld			1	1	2	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255		1			1					255					255					255					255					255	1	1	1	1	20					1			1	2	20					255					255	8	8	0	gth	ful	1	1	
Gothic Plate	0	0	4	1	135	135	5	70	0	0	55	0	32	0	0	1024	1024	gth	gth			gth	gth	xth	uth	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					1					255				1	1					255					255					255	1	1	1	1	20					1	1	1	1	2	20					255					255	8	8	0	ful	xxx	1	1	
Full Plate Mail	0	0	4	1	161	161	10	80	0	0	70	0	37	0	0	1024	1024	ful	ful			ful	ful	xul	uul	1	2	3	1	4	1	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					1					255					255					255					255					255			1	1	20					1	1	1	1	2	20					255					255	8	8	0	aar	xxx	1	1	
Ancient Armor	0	0	4	1	233	233	5	100	0	0	60	0	40	0	0	1024	1024	aar	aar			aar	aar	xar	uar	1	2	3	1	4	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20					255	1	1	1	2	20					255		1	1	2	20	8	8	0	ltp	xxx	1	1	
Light Plate	0	0	4	1	107	107	0	41	0	0	60	0	35	0	0	1024	1024	ltp	ltp			ltp	ltp	xtp	utp	1	2	3	1	3	1	flpltp	invltp			2	0	1	1	2	2	0					0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0			0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20		1			255			1	2	20					255		1	1	1	20	7	8	0	buc	xxx	1	1	
Buckler	0	0	2	1	6	6	0	12	0	0	12	0	1	0	0	1024	1024	buc	buc			buc	buc	xuc	uuc	7	2	2	1	1	2	flpbuc	invbuc	invbucu	invbucu							0					0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0			0	1	0	1	3	100		0	3	1	1	1	1	3		1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	8	8	0	sml	tow	1	1	
Small Shield	0	0	3	1	10	10	0	22	0	5	16	0	5	0	0	1024	1024	sml	sml			buc	sml	xml	uml	7	2	2	1	2	2	flpsml	invsml	invsmlu	invsmlu							0					0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0			0	1	0	2	3	100		0	3	1	1	1	1	5		1		1	1					255					255					255					255					255					255					255	1	2	1	1	1				1	1				1	1					255					255					255					255					255	8	5	0	lrg	kit	1	1	
Large Shield	0	0	4	1	14	14	5	34	0	12	24	0	11	0	0	1024	1024	lrg	lrg			lrg	lrg	xrg	urg	7	2	3	1	3	2	flplrg	invlrg	invlrgu	invlrgu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	2	4	100		0	3		1		1	10		1		1	1					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255	1	1			255					255					255					255	8	2	0	kit	tow	1	1	
Kite Shield	0	0	4	1	18	18	0	47	0	8	30	0	15	0	0	1024	1024	kit	kit			kit	kit	xit	uit	7	2	3	1	3	2	flpkit	invkit	invkitu	invkitu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	2	5	100		0	3					255					255					255	1	1		1	1					255					255	1	1	1	1	1					255					255					255	1	1		1	1	1	1		1	1					255	1	1	1	1	1					255					255					255	8	2	0	tow	gts	1	1	
Tower Shield	0	0	4	1	25	25	10	75	0	24	60	0	22	0	0	1024	1024	tow	tow			tow	tow	xow	uow	7	2	3	1	3	2	flptow	invtow	invtowu	invtowu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	1	5	100		0	3					255					255					255		1			1					255					255	1	2	1	1	1					255					255					255					255					255	1	1	1	1	20	1	1			1	1	1	1	2	20					255					20	8	2	0	gts	xxx	1	1	
Gothic Shield	0	0	4	1	35	35	5	60	0	16	40	0	30	0	0	1024	1024	gts	gts			kit	gts	xts	uts	7	2	4	1	3	2	flpgts	invgts	invgtsu	invgtsu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	2	6	100		0	3					255					255					255					255					255					255		1			1					255					255					255					255					255	1	1	1	1	20					1			1	2	20					255			1	1	20	8	2	0	xxx	xxx	1	1	
Leather Gloves	0	0	1	1	3	3	0	0	0	0	12	0	3	0	0	1024	1024	lgl	lgl			lgl	lgl	xlg	ulg	16	2	2	0	0	0	flplgl	invlgl									0					0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0			0	5	0	0	0			0	1	1	1	1	1	3	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	0	8	0	vgl	hgl	1	1	
Heavy Gloves	0	0	1	1	6	6	0	0	0	0	14	0	7	0	0	1024	1024	vgl	vgl			vgl	vgl	xvg	uvg	16	2	2	0	0	0	flpvgl	invvgl									0					0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0			0	5	0	0	0			0	1		1		1	5		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	0	8	0	mgl	tgl	1	1	
Chain Gloves	0	0	2	1	9	9	0	25	0	0	16	0	12	0	0	1024	1024	mgl	mgl			mgl	mgl	xmg	umg	16	2	2	0	0	0	flpmgl	invmgl									0					0	xxx			glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0			0	5	0	0	0			0	3		1			10					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	0	8	0	tgl	hgl	1	1	
Light Gauntlets	0	0	3	1	11	11	0	45	0	0	18	0	20	0	0	1024	1024	tgl	tgl			mgl	tgl	xtg	utg	16	2	2	0	0	0	flptgl	invtgl									0					0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0			0	5	0	0	0			0	3					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	255	1	1		1	255			1	1	20					255	1	1			255	0	8	0	xxx	xxx	1	1	
Gauntlets	0	0	4	1	15	15	0	60	0	0	24	0	27	0	0	1024	1024	hgl	hgl			hgl	hgl	xhg	uhg	16	2	2	0	0	0	flphgl	invhgl									0					0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0			0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1		1	255	1	1			255	1	1	1	1	20					255	1	1	1	1	20	0	8	0	xxx	xxx	1	1	
Boots	0	0	1	1	3	3	0	0	0	0	12	0	3	0	0	1024	1024	lbt	lbt			lbt	lbt	xlb	ulb	16	2	2	0	0	0	flplbt	invlbt									0					0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0			0	6	0	3	8	120		0	1	1	1	1	1	1	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	0	8	0	vbt	tbt	1	1	
Heavy Boots	0	0	1	1	6	6	0	18	0	0	14	0	7	0	0	1024	1024	vbt	vbt			vbt	vbt	xvb	uvb	16	2	2	0	0	0	flpvbt	invvbt									0					0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0			0	6	0	4	10	120		0	1		1		1	1		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	0	8	0	mbt	tbt	1	1	
Chain Boots	0	0	2	1	9	9	0	30	0	0	16	0	12	0	0	1024	1024	mbt	mbt			mbt	mbt	xmb	umb	16	2	2	0	0	0	flpmbt	invmbt									0					0	xxx			boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0			0	6	0	6	12	120		0	3		1			1					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	0	8	0	tbt	hbt	1	1	
Light Plated Boots	0	0	3	1	11	11	0	50	0	0	18	0	20	0	0	1024	1024	tbt	tbt			mbt	tbt	xtb	utb	16	2	2	0	0	0	flptbt	invtbt									0					0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0			0	6	0	8	16	120		0	3					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	20	1	1		1	255			1	1	20					255	1	1			255	0	8	0	xxx	xxx	1	1	
Greaves	0	0	4	1	15	15	0	70	0	0	24	0	27	0	0	1024	1024	hbt	hbt			hbt	hbt	xhb	uhb	16	2	2	0	0	0	flphbt	invhbt									0					0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0			0	6	0	10	20	120		0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1	1	1	20	1	1			255	1	1	1	1	20					255	1	1	1	1	20	0	8	0	xxx	xxx	1	1	
Sash	0	0	1	1	2	2	0	0	0	0	12	0	3	0	0	1024	1024	lbl	lbl			lbl	lbl	zlb	ulc	16	2	1	0	0	0	flplbl	invlbl									0					0	xxx			belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	1			0	4	0	0	0			0	1	1	1	1	1	1	1	1		1	1					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255	0	8	0	vbl	tbl	1	1	
Light Belt	0	0	1	1	3	3	0	0	0	0	14	0	7	0	0	1024	1024	vbl	vbl			vbl	vbl	zvb	uvc	16	2	1	0	0	0	flpvbl	invvbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	4			0	4	0	0	0			0	1		1		1	1		1		1	1					255		1		1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255	0	8	0	mbl	hbl	1	1	
Belt	0	0	2	1	5	5	0	25	0	0	16	0	12	0	0	1024	1024	mbl	mbl			mbl	mbl	zmb	umc	16	2	1	0	0	0	flpmbl	invmbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	0			0	4	0	0	0			0	1		1			1					255					255	1	2	1	1	1					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					255					255					255					255	0	8	0	tbl	hbl	1	1	
Heavy Belt	0	0	2	1	6	6	0	45	0	0	18	0	20	0	0	1024	1024	tbl	tbl			mbl	tbl	ztb	utc	16	2	1	0	0	0	flptbl	invtbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	5			0	4	0	0	0			0	1					255					255					255		1		1	1					255					255					255					255					255					255	1	2	1	1	1	1	2	1	1	1			1	1	20	1	1		1	255					255					255	1	1			255	0	8	0	xxx	xxx	1	1	
Plated Belt	0	0	3	1	11	11	0	60	0	0	24	0	27	0	0	1024	1024	hbl	hbl			hbl	hbl	zhb	uhc	16	2	1	0	0	0	flphbl	invhbl									0					0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	3			0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1	1	1	1	1	20	1	1			255	1	1	1	2	20					255	1	1			255	0	8	0	xxx	xxx	1	1	
Bone Helm	0	0	2	1	36	36	0	25	0	0	40	0	22	0	0	1024	1024	bhm	bhm			bhm	bhm	xh9	uh9	0	2	2	1	2	1	flpbhm	invbhm	invbhmu	invbhmu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	2	0			0	3	0	0	0			0	1					255					255					255					255					255	1	2	1	3	20					255					255				1	1					255					255					255					255					255					255					255		1		1	1	7	8	0	xxx	xxx	1	1	
Bone Shield	0	0	2	1	30	30	0	25	0	20	40	0	19	0	0	1024	1024	bsh	bsh			bsh	bsh	xsh	ush	7	2	3	1	2	2	flpbsh	invbsh	invbshu	invbshu							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	3	6	100		0	1					255					255					255					255					255	1	2	1	3	20					255					255				1	1					255					255					255					255					255					255					255		1		1	1	8	8	0	xxx	xxx	1	1	
Spiked Shield	0	0	3	1	25	25	0	30	0	10	40	0	11	0	0	1024	1024	spk	spk			spk	spk	xpk	upk	7	2	3	1	2	2	flpspk	invspk	invspku	invspku							0					0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0			0	1	0	5	9	100		0	1					255					255					255					255					255	1	2	1	3	20					255					255					1					255					255					255					255					255					255					255		1		1	1	8	8	0	xxx	xxx	1	1	
War Hat	0	0	1	1	53	53	0	20	0	0	12	0	34	0	22	1024	1024	xap	xap			cap	cap	xap	uap	0	2	2	1	2	1	flpcap	invcap									0					0	xxx			helm		item_cap	12	item_cap	0	0	5	0	0	0			0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	1	
Sallet	0	0	4	1	62	62	0	43	0	0	18	0	37	0	25	1024	1024	xkp	xkp			skp	skp	xkp	ukp	0	2	2	1	2	1	flpskp	invskp	invxkpu	invxkpu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	1	
Casque	0	0	4	1	72	72	0	59	0	0	24	0	42	0	25	1024	1024	xlm	xlm			hlm	hlm	xlm	ulm	0	2	2	1	2	1	flphlm	invhlm	invhlmu	invhlmu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	1	
Basinet	0	0	4	1	84	84	0	82	0	0	30	0	45	0	25	1024	1024	xhl	xhl			fhl	fhl	xhl	uhl	0	2	2	1	2	1	flpfhl	invfhl	invfhlu	invfhlu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	8	0	xxx	xxx	1	1	
Winged Helm	0	0	4	1	98	98	0	115	0	0	40	0	51	0	25	1024	1024	xhm	xhm			ghm	ghm	xhm	uhm	0	2	2	1	3	1	flpghm	invghm									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	7	8	0	xxx	xxx	1	1	
Grand Crown	0	0	4	1	113	113	0	103	0	0	50	0	55	0	25	1024	1024	xrn	xrn			crn	crn	xrn	urn	0	2	2	1	3	1	flpcrn	invcrn	invxrnu	invxrnu							0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	1	
Death Mask	0	0	4	1	86	86	0	55	0	0	20	0	48	0	25	1024	1024	xsk	xsk			msk	msk	xsk	usk	0	2	2	1	3	1	flpmsk	invmsk									0					0	xxx			helm		item_helm	12	item_helm	0	0	5	0	0	0			0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	1	
Ghost Armor	0	0	1	1	117	117	0	38	0	0	20	0	34	0	22	1024	1024	xui	xui			qlt	qui	xui	uui	1	2	3	1	2	1	flpqlt	invqlt			0	0	0	0	1	1	0					0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0			0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	8	0	xxx	xxx	1	1	
