name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Morning Star	mace		mst	mac	mst	0		4	1	0	xxx			7	16							1	10	100		36		72		13	0	0	1024	1024			mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9mt	7mt	1	1	
Flail	mace		fla	fla	fla	0		4	1	0	xxx			1	24							2	-10	100		41	35	30		19	0	0	1024	1024			fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9fl	7fl	1	1	
War Hammer	hamm		whm	whm	whm	0		4	1	0	xxx			19	29								20	110		53		55		25	0	0	1024	1024			whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			178	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9wh	7wh	1	1	
Maul	hamm		mau	mau	mau	0		4	1	0	xxx						1	30	43			1	10	110		69		60		21	0	0	1024	1024			mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9m9	7m7	1	1	
Great Maul	hamm		gma	mau	gma	0		3	1	0	xxx						1	38	58			2	20	110		99		60		32	0	0	1024	1024			gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9gm	7gm	1	1	
Short Sword	swor		ssd	ssd	ssd	0		3	1	0	xxx			2	7									100				24		1	0	0	1024	1024			ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9ss	7ss	1	1	
Scimitar	swor		scm	scm	scm	0		3	1	0	xxx			2	6								-20	100			21	22		5	0	0	1024	1024			scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9sm	7sm	1	1	
Saber	swor		sbr	scm	sbr	0		3	1	0	xxx			3	8								-10	100		25	25	32		8	0	0	1024	1024			sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9sb	7sb	1	1	
Falchion	swor		flc	flc	flc	0		4	1	0	xxx			9	17								20	100		33		32		11	0	0	1024	1024			flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9fc	7fc	1	1	
Crystal Sword	swor		crs	crs	crs	0		2	1	0	xxx			5	15							1		100		43		20		11	0	0	1024	1024			crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	5	0			0	7	0	0	1	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	8	0	9cr	7cr	1	1	
Broad Sword	swor		bsd	bsd	bsd	0		4	1	0	xxx			7	14									100		48		32		15	0	0	1024	1024			bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9bs	7bs	1	1	
Long Sword 	swor		lsd	lsd	lsd	0		4	1	0	xxx			3	19							1	-10	100		55	39	44		20	0	0	1024	1024			lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9ls	7ls	1	1	
War Sword	swor		wsd	flc	wsd	0		4	1	0	xxx			8	20							1		100		71	45	44		27	0	0	1024	1024			wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9wd	7wd	1	1	
Two-Handed Sword	swor		2hs	clm	2hs	0		4	1	0	xxx			2	9	1	1	8	17			2		100		35	27	44		10	0	0	1024	1024			2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	92h	72h	1	1	
Claymore	swor		clm	clm	clm	0		4	1	0	xxx			5	12	1	1	13	30			2	10	100		47		50		17	0	0	1024	1024			clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9cm	7cm	1	1	
Giant Sword	swor		gis	gsd	gis	0		4	1	0	xxx			3	16	1	1	9	28			2		100		56	34	50		21	0	0	1024	1024			gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9gs	7gs	1	1	
Bastard Sword	swor		bsw	clm	bsw	0		4	1	0	xxx			7	19	1	1	20	28			1	10	100		62		40		24	0	0	1024	1024			bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9b9	7b7	1	1	
Flamberge	swor		flb	clm	flb	0		4	1	0	xxx			9	15	1	1	13	26			2	-10	100		70	49	50		27	0	0	1024	1024			flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9fb	7fb	1	1	
Great Sword	swor		gsd	gsd	gsd	0		4	1	0	xxx			12	20	1	1	25	42			2	10	100		100	60	50		33	0	0	1024	1024			gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9gd	7gd	1	1	
Dagger	knif		dgr	dgr	dgr	0		2	1	0	xxx			1	4								-20	75	75			16		3	0	0	1024	1024			dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	1	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9dg	7dg	1	1	
Dirk	knif		dir	dir	dir	0		2	1	0	xxx			3	9									75	75		25	20		9	0	0	1024	1024			dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	1	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9di	7di	1	1	
Kriss	knif		kri	dir	kri	0		2	1	0	xxx			2	11								-20	75	75		45	24		17	0	0	1024	1024			kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9kr	7kr	1	1	
Blade	knif		bld	dgr	bld	0		3	1	0	xxx			4	15								-10	75	75	35	51	24		23	0	0	1024	1024			bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9bl	7bl	1	1	
Throwing Knife	tkni		tkf	dgr	tkf	0		2	1	0	xxx			2	3					4	9			75	75		21	4		2	0	0	1024	1024			tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	60	240	120	flptkn	invtkn					0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9tk	7tk	1	1	
Throwing Axe	taxe		tax	hax	tax	0		2	1	0	xxx			4	7					8	12		10	75	75		40	6		7	0	0	1024	1024			tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	24	200	48	flptax	invtax					0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9ta	7ta	1	1	
Balanced Knife	tkni		bkf	dgr	bkf	0		2	1	0	xxx			1	8					6	11		-20	75	75		51	8		13	0	0	1024	1024			bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	45	240	90	flpbkf	invbkf					0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9bk	7bk	1	1	
Balanced Axe	taxe		bal	hax	bal	0		2	1	0	xxx			5	10					12	15		-10	75	75		57	10		16	0	0	1024	1024			bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	24	200	36	flpbal	invbal					0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	2	2	0	9b8	7b8	1	1	
Javelin	jave		jav	jav	jav	0		4	1	0	xxx			1	5					6	14	2	-10	75	75			2		1	0	0	1024	1024			jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	45	90	90	flpjav	invjav					0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	8	0	9ja	7ja	1	1	
Pilum	jave		pil	pil	pil	0		4	1	0	xxx			4	9					7	20	2		75	75		45	3		10	0	0	1024	1024			pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	40	75	75	flppil	invpil					0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	8	0	9pi	7pi	1	1	
Short Spear	jave		ssp	jav	ssp	0		4	1	0	xxx			2	13					10	22	2	10	75	75	40	40	4		15	0	0	1024	1024			ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	30	60	60	flpssp	invssp					0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	8	0	9s9	7s7	1	1	
Glaive	jave		glv	glv	glv	0		4	1	0	xxx			5	17					16	22	2	20	75	75	52	35	5		23	0	0	1024	1024			glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	24	60	60	flpglv	invglv					0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9gl	7gl	1	1	
Throwing Spear	jave		tsp	pil	tsp	0		4	1	0	xxx			5	15					12	30	2	-10	75	75		65	6		29	0	0	1024	1024			tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	48	120	120	flptsp	invtsp					0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	1	2	0	9ts	7ts	1	1	
Spear	spea		spr	spr	spr	0		4	1	0	xxx						1	3	15			3	-10	100			20	30		5	0	0	1024	1024			spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	3	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	8	0	9sr	7sr	1	1	
Trident	spea		tri	tri	tri	0		4	1	0	xxx						1	9	15			3		100		38	24	35		9	0	0	1024	1024			tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	4	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	8	0	9tr	7tr	1	1	
Brandistock	spea		brn	brn	brn	0		4	1	0	xxx						1	7	17			4	-20	100		40	50	28		16	0	0	1024	1024			brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	5	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	8	0	9br	7br	1	1	
Spetum	spea		spt	tri	spt	0		4	1	0	xxx						1	15	23			4		100		54	35	28		20	0	0	1024	1024			spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	6	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1			0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0					0	5	8	0	9st	7st	1	1	
